Restaurant ID,Rating,TimeStamp
16595766,5.0,1602163874
16595766,4.0,1600923680
16595766,4.0,1584369005
16595766,5.0,1582828635
16595766,4.0,1582483860
16600038,4.5,1600924854
16600038,4.0,1594512772
16600038,4.0,1582484130
16600038,4.0,1578563989
16600038,5.0,1576830546
16598976,5.0,1602163706
16598976,5.0,1600925038
16598976,5.0,1581521523
16598976,5.0,1578580121
16598976,5.0,1575969773
16597645,4.0,1600345494
16597645,2.0,1582236869
16597645,3.0,1575270525
16597645,5.0,1573665468
16597645,3.0,1561957149
18196379,4.0,1599486397
18196379,5.0,1591446993
18196379,4.0,1581225039
18196379,3.0,1571543092
18196379,5.0,1570369560
16598431,5.0,1600923465
16598431,4.0,1595091104
16598431,1.0,1581209891
16598431,1.0,1575700680
16598431,1.0,1573968365
16599082,3.0,1594512576
16599082,3.0,1583492273
16599082,5.0,1582828658
16599082,4.0,1582483875
16599082,4.0,1582235605
16596036,4.0,1597678686
16596036,5.0,1595087881
16596036,5.0,1594035028
16596036,4.0,1592928621
16596036,4.0,1582485995
16600553,4.5,1600921973
16600553,3.0,1599976007
16600553,2.0,1590922724
16600553,5.0,1588850472
16600553,2.0,1584074965
16596238,5.0,1582828752
16596238,4.0,1582483765
16596238,4.0,1581758596
16596238,4.0,1581225736
16596238,5.0,1578384690
16599032,4.5,1600920024
16599032,4.0,1600259241
16599032,4.0,1598271437
16599032,4.0,1582486058
16599032,4.0,1579961163
16596903,3.0,1600918023
16596903,5.0,1599438129
16596903,5.0,1595650206
16596903,4.0,1594428045
16596903,4.0,1584369366
16595894,1.0,1599404974
16595894,4.0,1598162979
16595894,4.0,1598016784
16595894,4.0,1597924534
16595894,1.0,1595856413
16600511,5.0,1600916083
16600511,4.0,1598164619
16600511,5.0,1593495937
16600511,3.0,1592320607
16600511,4.0,1584369155
16599893,5.0,1594896846
16599893,3.0,1590995530
16599893,5.0,1589165472
16599893,5.0,1573601956
16599893,4.0,1573142359
16599949,2.0,1599303184
16599949,5.0,1596940331
16599949,4.0,1594035083
16599949,4.0,1592662666
16599949,4.0,1584369386
16597513,1.0,1600000560
16597513,4.0,1596873245
16597513,4.0,1582484158
16597513,3.0,1582285227
16597513,2.0,1580484433
16598699,4.0,1600846568
16598699,4.0,1582486101
16598699,5.0,1582034831
16598699,5.0,1578847696
16598699,2.5,1561784648
16596362,4.0,1600923479
16596362,2.0,1599540791
16596362,5.0,1596969732
16596362,4.0,1595086865
16596362,1.0,1581140812
16597137,3.0,1587017136
16597137,5.0,1578233601
16597137,4.0,1575180353
16597137,4.0,1573665375
16597137,4.0,1572958677
16599765,4.0,1584369127
16599765,4.0,1583109526
16599765,3.0,1581225256
16599765,3.0,1578648638
16599765,4.0,1576821164
16596244,4.0,1601264523
16596244,4.0,1600925307
16596244,5.0,1595501555
16596244,4.0,1592667706
16596244,5.0,1582828769
16601597,4.0,1598271234
16601597,4.0,1591968761
16601597,4.0,1588665735
16601597,5.0,1579382680
16601597,4.0,1579044156
16598168,5.0,1600276373
16598168,5.0,1598415331
16598168,5.0,1596891585
16598168,5.0,1596286714
16598168,5.0,1596113019
16596306,5.0,1594639366
16596306,4.0,1582483941
16596306,5.0,1580900636
16596306,5.0,1561053864
16596306,5.0,1557463590
16598837,4.0,1600924803
16598837,4.0,1583979054
16598837,5.0,1578875216
16598837,4.0,1567851579
16598837,4.0,1559462643
16600326,4.0,1600922130
16600326,4.0,1599486637
16600326,4.0,1597669343
16600326,1.0,1595699964
16600326,4.0,1584369375
16598045,5.0,1592531344
16598045,5.0,1590509223
16598045,4.0,1588163603
16598045,4.0,1587018569
16598045,5.0,1585130367
16597765,4.5,1600919664
16597765,5.0,1592195214
16597765,4.0,1582485929
16597765,5.0,1580213877
16597765,5.0,1575780309
16596635,4.0,1599016902
16596635,2.0,1590244665
16596635,4.0,1584369350
16596635,5.0,1582828719
16596635,4.0,1582485969
16597791,4.0,1600845305
16597791,4.0,1584369504
16597791,4.0,1582484188
16597791,5.0,1580267450
16597791,4.0,1577521316
16600310,3.0,1598271346
16600310,3.0,1597666250
16600310,3.0,1588666779
16600310,5.0,1581637836
16600310,5.0,1573374950
16596818,4.0,1591578324
16596818,4.0,1588781867
16596818,4.0,1584369532
16596818,4.0,1582485914
16596818,2.0,1580094315
16596980,4.0,1584369637
16596980,4.0,1539619709
16596980,4.0,1523711637
16596980,3.0,1521964773
16596980,4.5,1521700949
16595831,5.0,1601960140
16595831,5.0,1600241675
16595831,4.0,1599305268
16595831,4.0,1598379778
16595831,5.0,1597915339
16596581,1.0,1592994200
16596581,3.0,1591016156
16596581,1.0,1582271711
16596581,3.0,1579833276
16596581,2.0,1579368239
16599234,5.0,1588833998
16599234,3.0,1587019795
16599234,5.0,1578847896
16599234,5.0,1576483878
16599234,1.0,1566176384
16597128,5.0,1586262904
16597128,4.0,1584369183
16597128,1.0,1577697714
16597128,3.0,1572752196
16597128,5.0,1568130621
16596534,1.0,1600572147
16596534,4.0,1584369556
16596534,1.0,1583553923
16596534,2.0,1582284555
16596534,5.0,1563789626
16596768,5.0,1582237829
16596768,5.0,1579543818
16596768,3.0,1575698475
16596768,5.0,1574947916
16596768,4.0,1568177828
16596072,4.5,1600923261
16596072,4.0,1584369012
16596072,2.0,1583223355
16596072,4.0,1583212900
16596072,4.0,1582484297
16597087,5.0,1597735389
16597087,3.0,1593333112
16597087,4.0,1593230100
16597087,4.0,1584369102
16597087,4.0,1578233493
16599918,3.0,1594035347
16599918,4.0,1587019701
16599918,4.0,1584368989
16599918,5.0,1583374981
16599918,4.0,1582828686
16596002,3.0,1596937396
16596002,4.0,1595340211
16596002,4.0,1593529459
16596002,4.0,1573263470
16596002,5.0,1568457659
16596945,4.0,1600919652
16596945,4.0,1600494806
16596945,5.0,1591785711
16596945,4.0,1584369219
16596945,4.0,1577361607
16596567,4.0,1584369323
16596567,4.0,1582448865
16596567,4.0,1573665439
16596567,2.0,1571747076
16596567,1.0,1570450038
16596448,4.0,1600847750
16596448,1.0,1595063669
16596448,5.0,1594658984
16596448,3.0,1591152477
16596448,3.0,1591151458
16599146,4.0,1584369407
16599146,3.0,1582209121
16599146,5.0,1581249701
16599146,2.0,1580190246
16599146,4.0,1579152815
16596981,1.0,1591442299
16596981,5.0,1590934458
16596981,5.0,1590890286
16596981,5.0,1589544489
16596981,4.0,1584369581
16596326,4.0,1600845294
16596326,4.0,1596969861
16596326,2.0,1596193631
16596326,1.0,1589704835
16596326,3.0,1583624296
16598876,4.0,1601897674
16598876,4.0,1584369466
16598876,4.0,1582486222
16598876,3.0,1578114461
16598876,3.0,1577703129
16598952,3.5,1600922144
16598952,5.0,1594292337
16598952,4.0,1584369032
16598952,5.0,1563412732
16598952,5.0,1556799190
16597131,5.0,1597659111
16597131,5.0,1594353749
16597131,5.0,1584596128
16597131,4.0,1578848207
16597131,1.0,1577453849
16596479,4.5,1600923823
16596479,3.0,1587035956
16596479,4.0,1584369565
16596479,1.0,1581914955
16596479,5.0,1580824817
16596234,4.0,1584369680
16596234,3.0,1562741002
16596234,2.0,1558613354
16596234,5.0,1557125938
16596234,5.0,1539622903
16598601,4.0,1601378440
16598601,1.0,1593262951
16598601,1.0,1592445078
16598601,4.0,1591614335
16598601,3.0,1581224768
16602022,3.0,1592319981
16602022,4.0,1582906642
16602022,3.0,1579276099
16602022,3.0,1577583631
16602022,5.0,1575536124
16599605,4.5,1600847572
16599605,4.0,1584369254
16599605,4.0,1583028136
16599605,5.0,1582828651
16599605,4.0,1582483813
18156128,3.0,1597914828
18156128,4.0,1594292658
18156128,4.0,1593780602
18156128,3.0,1593602643
18156128,4.0,1584369285
16597743,3.0,1600846694
16597743,5.0,1597135585
16597743,4.0,1594909753
16597743,5.0,1594615343
16597743,4.0,1591184051
16601688,1.0,1598167403
16601688,3.0,1592392863
16601688,4.0,1584369474
16601688,2.0,1582774429
16601688,4.0,1582483986
16596049,4.0,1600950335
16596049,3.0,1599210028
16596049,4.0,1584369726
16596049,5.0,1582236964
16596049,5.0,1579151826
16597986,4.5,1600924789
16597986,4.0,1584369415
16597986,3.0,1583281172
16597986,3.0,1569220964
16597986,5.0,1568457698
16598970,4.0,1584369671
16598970,3.0,1568429580
16598970,5.0,1567831158
16598970,5.0,1551001319
16598970,5.0,1549795593
16597786,4.0,1600924842
16597786,4.0,1584369654
16597786,4.0,1576655041
16597786,5.0,1561472255
16597786,4.0,1560589474
16598736,4.5,1600925427
16598736,4.0,1583667505
16598736,4.0,1577149403
16598736,3.0,1555154329
16598736,3.0,1548977026
16597153,5.0,1601264711
16597153,5.0,1576830502
16597153,4.0,1576472447
16597153,4.0,1569235067
16597153,5.0,1566995774
16597253,1.0,1598772579
16597253,1.0,1593268291
16597253,5.0,1591469313
16597253,3.0,1587865390
16597253,4.0,1583500994
16598361,4.0,1601278704
16598361,4.5,1600927499
16598361,3.0,1587035987
16598361,4.0,1584369247
16598361,4.0,1582484030
16598265,5.0,1591785743
16598265,5.0,1580471961
16598265,5.0,1574527339
16598265,5.0,1574527306
16598265,4.0,1569156890
17841646,5.0,1599652182
17841646,4.0,1594879316
17841646,5.0,1566565658
17841646,4.0,1559403429
17841646,4.0,1552893567
16601603,1.0,1601807492
16601603,4.0,1584369646
16601603,1.0,1580911454
16601603,2.0,1578149825
16601603,2.0,1565227354
16596615,4.0,1600843607
16596615,4.0,1584369711
